Name,Author,User Rating,Raviews,Price,Year,Genre,Reviews
,,0.0,0.0,0,2009,Fiction,
Harry Potter,J.K. Rowling,3.6,,13,2020,Fiction,7.0
"Harry Potter and the Cursed Child Parts One and Two, The Crimes of Grindelwald, Fantastic Beasts and Where to Find Them",J.K. Rowling,4.6,,132,2022,Fiction,509.0
"Act Like a Lady, Think Like a Man: What Men Really Think About Love, Relationships, Intimacy, and Commitment",Steve Harvey,4.6,,17,2009,Non Fiction,5013.0
Arguing with Idiots: How to Stop Small Minds and Big Government,Glenn Beck,4.6,,5,2009,Non Fiction,798.0
"Breaking Dawn (The Twilight Saga, Book 4)",Stephenie Meyer,4.6,,13,2009,Fiction,9769.0
Crazy Love: Overwhelmed by a Relentless God,Francis Chan,4.7,,14,2009,Non Fiction,1542.0
Dead And Gone: A Sookie Stackhouse Novel (Sookie Stackhouse/True Blood),Charlaine Harris,4.6,,4,2009,Fiction,1541.0
Diary of a Wimpy Kid: The Last Straw (Book 3),Jeff Kinney,4.8,,15,2009,Fiction,3837.0
"Divine Soul Mind Body Healing and Transmission System: The Divine Way to Heal You, Humanity, Mother Earth, and All…",Zhi Gang Sha,4.6,,6,2009,Non Fiction,37.0
"Dog Days (Diary of a Wimpy Kid, Book 4) (Volume 4)",Jeff Kinney,4.8,,12,2009,Fiction,3181.0
Eat This Not That! Supermarket Survival Guide: The No-Diet Weight Loss Solution,David Zinczenko,4.5,,1,2009,Non Fiction,720.0
"Eat This, Not That! Thousands of Simple Food Swaps that Can Save You 10, 20, 30 Pounds--or More!",David Zinczenko,4.3,,14,2009,Non Fiction,956.0
Eclipse (Twilight Sagas),Stephenie Meyer,4.7,,7,2009,Fiction,5505.0
Eclipse (Twilight),Stephenie Meyer,4.7,,18,2009,Fiction,5505.0
"Glenn Beck's Common Sense: The Case Against an Out-of-Control Government, Inspired by Thomas Paine",Glenn Beck,4.6,,11,2009,Non Fiction,1365.0
Going Rogue: An American Life,Sarah Palin,4.6,,6,2009,Non Fiction,1636.0
Good to Great: Why Some Companies Make the Leap and Others Don't,Jim Collins,4.5,,14,2009,Non Fiction,3457.0
Have a Little Faith: A True Story,Mitch Albom,4.8,,4,2009,Non Fiction,1930.0
"I, Alex Cross",James Patterson,4.6,,7,2009,Fiction,1320.0
Liberty and Tyranny: A Conservative Manifesto,Mark R. Levin,4.8,,15,2009,Non Fiction,3828.0
"Mastering the Art of French Cooking, Vol. 2",Julia Child,4.8,,27,2009,Non Fiction,2926.0
New Moon (The Twilight Saga),Stephenie Meyer,4.6,,10,2009,Fiction,5680.0
Olive Kitteridge,Elizabeth Strout,4.2,,12,2009,Fiction,4519.0
Outliers: The Story of Success,Malcolm Gladwell,4.6,,20,2009,Non Fiction,10426.0
"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,4.5,,46,2009,Non Fiction,8580.0
Sookie Stackhouse,Charlaine Harris,4.7,,25,2009,Fiction,973.0
StrengthsFinder 2.0,Gallup,4.0,,17,2009,Non Fiction,5069.0
"Super Freakonomics: Global Cooling, Patriotic Prostitutes, and Why Suicide Bombers Should Buy Life Insurance",Steven D. Levitt,4.5,,18,2009,Non Fiction,1583.0
The 5000 Year Leap,W. Cleon Skousen,4.8,,12,2009,Non Fiction,1680.0
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,4.6,,24,2009,Non Fiction,9325.0
The Book of Basketball: The NBA According to The Sports Guy,Bill Simmons,4.7,,53,2009,Non Fiction,858.0
The Elegance of the Hedgehog,Muriel Barbery,4.0,,11,2009,Fiction,1859.0
The Five Dysfunctions of a Team: A Leadership Fable,Patrick Lencioni,4.6,,6,2009,Non Fiction,3207.0
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,Gary Chapman,4.6,,9,2009,Non Fiction,803.0
The Girl Who Played with Fire (Millennium),Stieg Larsson,4.7,,16,2009,Fiction,7251.0
The Girl with the Dragon Tattoo (Millennium Series),Stieg Larsson,4.4,,2,2009,Fiction,10559.0
The Guernsey Literary and Potato Peel Pie Society,Mary Ann Shaffer,4.7,,10,2009,Fiction,8587.0
The Help,Kathryn Stockett,4.8,,6,2009,Fiction,13871.0
The Last Lecture,Randy Pausch,4.7,,9,2009,Non Fiction,4028.0
"The Last Olympian (Percy Jackson and the Olympians, Book 5)",Rick Riordan,4.8,,7,2009,Fiction,4628.0
